Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Peptides 008-CS1_GST CAA5769A8MA2-40-222333	Peptides 010-CS2_GST CAA5769A10MA2-40-222342	Peptides 012-CS3_GST CAA5769A12MA2-40-222421	Peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Peptides 020-CS1_26S CAA5769A20MA2-40-222451	Peptides 022-CS2_26S CAA5769A22MA2-40-222460	Peptides 024-CS3_26S CAA5769A24MA2-40-222468	Razor + unique peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Razor + unique peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Razor + unique peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Razor + unique peptides 008-CS1_GST CAA5769A8MA2-40-222333	Razor + unique peptides 010-CS2_GST CAA5769A10MA2-40-222342	Razor + unique peptides 012-CS3_GST CAA5769A12MA2-40-222421	Razor + unique peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Razor + unique peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Razor + unique peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Razor + unique peptides 020-CS1_26S CAA5769A20MA2-40-222451	Razor + unique peptides 022-CS2_26S CAA5769A22MA2-40-222460	Razor + unique peptides 024-CS3_26S CAA5769A24MA2-40-222468	Unique peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Unique peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Unique peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Unique peptides 008-CS1_GST CAA5769A8MA2-40-222333	Unique peptides 010-CS2_GST CAA5769A10MA2-40-222342	Unique peptides 012-CS3_GST CAA5769A12MA2-40-222421	Unique peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Unique peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Unique peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Unique peptides 020-CS1_26S CAA5769A20MA2-40-222451	Unique peptides 022-CS2_26S CAA5769A22MA2-40-222460	Unique peptides 024-CS3_26S CAA5769A24MA2-40-222468	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 002-CTRL1_GST CAA5769A2MA2-40-222306	Identification type 004-CTRL2_GST CAA5769A4MA2-40-222313	Identification type 006-CTRL3_GST CAA5769A6MA2-40-222321	Identification type 008-CS1_GST CAA5769A8MA2-40-222333	Identification type 010-CS2_GST CAA5769A10MA2-40-222342	Identification type 012-CS3_GST CAA5769A12MA2-40-222421	Identification type 014-CTRL1_26S CAA5769A14MA2-40-222435	Identification type 016-CTRL2_26S CAA5769A16MA2-40-222440	Identification type 018-CTRL3_26S CAA5769A18MA2-40-222445	Identification type 020-CS1_26S CAA5769A20MA2-40-222451	Identification type 022-CS2_26S CAA5769A22MA2-40-222460	Identification type 024-CS3_26S CAA5769A24MA2-40-222468	Sequence coverage 002-CTRL1_GST CAA5769A2MA2-40-222306 [%]	Sequence coverage 004-CTRL2_GST CAA5769A4MA2-40-222313 [%]	Sequence coverage 006-CTRL3_GST CAA5769A6MA2-40-222321 [%]	Sequence coverage 008-CS1_GST CAA5769A8MA2-40-222333 [%]	Sequence coverage 010-CS2_GST CAA5769A10MA2-40-222342 [%]	Sequence coverage 012-CS3_GST CAA5769A12MA2-40-222421 [%]	Sequence coverage 014-CTRL1_26S CAA5769A14MA2-40-222435 [%]	Sequence coverage 016-CTRL2_26S CAA5769A16MA2-40-222440 [%]	Sequence coverage 018-CTRL3_26S CAA5769A18MA2-40-222445 [%]	Sequence coverage 020-CS1_26S CAA5769A20MA2-40-222451 [%]	Sequence coverage 022-CS2_26S CAA5769A22MA2-40-222460 [%]	Sequence coverage 024-CS3_26S CAA5769A24MA2-40-222468 [%]	Intensity	Intensity 002-CTRL1_GST CAA5769A2MA2-40-222306	Intensity 004-CTRL2_GST CAA5769A4MA2-40-222313	Intensity 006-CTRL3_GST CAA5769A6MA2-40-222321	Intensity 008-CS1_GST CAA5769A8MA2-40-222333	Intensity 010-CS2_GST CAA5769A10MA2-40-222342	Intensity 012-CS3_GST CAA5769A12MA2-40-222421	Intensity 014-CTRL1_26S CAA5769A14MA2-40-222435	Intensity 016-CTRL2_26S CAA5769A16MA2-40-222440	Intensity 018-CTRL3_26S CAA5769A18MA2-40-222445	Intensity 020-CS1_26S CAA5769A20MA2-40-222451	Intensity 022-CS2_26S CAA5769A22MA2-40-222460	Intensity 024-CS3_26S CAA5769A24MA2-40-222468	LFQ intensity 002-CTRL1_GST CAA5769A2MA2-40-222306	LFQ intensity 004-CTRL2_GST CAA5769A4MA2-40-222313	LFQ intensity 006-CTRL3_GST CAA5769A6MA2-40-222321	LFQ intensity 008-CS1_GST CAA5769A8MA2-40-222333	LFQ intensity 010-CS2_GST CAA5769A10MA2-40-222342	LFQ intensity 012-CS3_GST CAA5769A12MA2-40-222421	LFQ intensity 014-CTRL1_26S CAA5769A14MA2-40-222435	LFQ intensity 016-CTRL2_26S CAA5769A16MA2-40-222440	LFQ intensity 018-CTRL3_26S CAA5769A18MA2-40-222445	LFQ intensity 020-CS1_26S CAA5769A20MA2-40-222451	LFQ intensity 022-CS2_26S CAA5769A22MA2-40-222460	LFQ intensity 024-CS3_26S CAA5769A24MA2-40-222468	MS/MS count 002-CTRL1_GST CAA5769A2MA2-40-222306	MS/MS count 004-CTRL2_GST CAA5769A4MA2-40-222313	MS/MS count 006-CTRL3_GST CAA5769A6MA2-40-222321	MS/MS count 008-CS1_GST CAA5769A8MA2-40-222333	MS/MS count 010-CS2_GST CAA5769A10MA2-40-222342	MS/MS count 012-CS3_GST CAA5769A12MA2-40-222421	MS/MS count 014-CTRL1_26S CAA5769A14MA2-40-222435	MS/MS count 016-CTRL2_26S CAA5769A16MA2-40-222440	MS/MS count 018-CTRL3_26S CAA5769A18MA2-40-222445	MS/MS count 020-CS1_26S CAA5769A20MA2-40-222451	MS/MS count 022-CS2_26S CAA5769A22MA2-40-222460	MS/MS count 024-CS3_26S CAA5769A24MA2-40-222468	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__ENSEMBL:ENSP00000377550;CON__P13646-1;CON__P35900;CON__Q9C075;CON__Q6IFU5	CON__ENSEMBL:ENSP00000377550;CON__P13646-1	10;10;3;1;1	4;4;0;0;0	3;3;0;0;0	;	5	10	4	3	5	5	7	4	10	5	3	3	4	4	6	3	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	24.3	14.3	11.7	45.771	420	420;458;424;422;431	0	25.171	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	8.3	8.3	13.1	8.3	24.3	8.3	5.7	5.7	8.3	8.3	10	5.7	2285400	0	0	629950	0	1655400	0	0	0	0	0	0	0	0	0	0	0	7301000	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	5			+	0	188;292;1337;2820;2915;3263;4021;4022;4296;4881	True;False;True;False;False;True;False;False;True;False	201;313;1395;2922;3018;3376;4173;4174;4451;5049	1540;1541;2434;2435;2436;2437;2438;2439;2440;2441;2442;2443;2444;2445;10880;23888;23889;23890;24680;24681;24682;24683;24684;24685;27562;33874;33875;33876;33877;33878;33879;33880;33881;33882;33883;33884;33885;33886;33887;33888;33889;33890;33891;33892;33893;33894;33895;33896;33897;35969;40828;40829;40830;40831;40832;40833;40834;40835;40836	868;869;1394;1395;1396;1397;1398;1399;1400;1401;1402;6137;13582;14270;14271;14272;15724;19048;19049;19050;19051;19052;19053;19054;19055;19056;19057;20197;22906;22907;22908;22909;22910;22911	869;1398;6137;13582;14270;15724;19052;19057;20197;22909			-1;-1;-1;-1;-1
CON__O43790;tr|Q9CPR6|Q9CPR6_MOUSE	CON__O43790	16;1	15;1	2;0		2	16	15	2	1	0	3	1	1	1	1	2	2	0	16	2	1	0	3	1	1	0	1	1	1	0	15	1	0	0	0	0	0	0	0	0	0	0	2	0	37.4	36	7.6	53.5	486	486;171	0	323.31	By matching		By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching		By MS/MS	By MS/MS	2.1	0	6	2.1	1.4	1.4	2.1	3.5	3.5	0	37.4	3.5	1180000000	462180	0	1449300	204270	130670	0	10001000	8307900	6344400	0	1145000000	8120400	0	0	15366000	0	0	0	0	0	0	0	442080000	0	0	0	0	0	0	0	0	0	0	0	21	0	21			+	1	162;1456;1758;2710;2758;2781;2812;2867;2977;3241;4141;4262;4750;5255;5374;5537	True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True	172;1515;1824;2809;2857;2881;2914;2970;3080;3354;4294;4417;4911;5434;5561;5726	1321;11889;11890;11891;11892;11893;14502;22949;23306;23307;23504;23505;23506;23507;23508;23509;23510;23813;23814;24301;25223;27378;27379;34890;35799;39659;39660;39661;39662;44042;44043;45038;46365	719;6778;6779;6780;6781;6782;8267;13077;13226;13342;13530;13531;14079;14080;14569;14570;14571;15652;19626;20096;22269;22270;24780;24781;25344;26019	719;6782;8267;13077;13226;13342;13531;14079;14569;15652;19626;20096;22269;24780;25344;26019			-1;-1
CON__O76013;sp|B1AQ75|KRT36_MOUSE	CON__O76013;sp|B1AQ75|KRT36_MOUSE	4;2	4;2	4;2	;sp|B1AQ75|KRT36_MOUSE Keratin, type I cuticular Ha6 OS=Mus musculus OX=10090 GN=Krt36 PE=1 SV=1	2	4	4	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	11.1	11.1	11.1	52.247	467	467;473	0	47.777											By MS/MS		0	0	0	0	0	0	0	0	0	0	11.1	0	52294000	0	0	0	0	0	0	0	0	0	0	52294000	0	0	0	0	0	0	0	0	0	0	0	20191000	0	0	0	0	0	0	0	0	0	0	0	5	0	5			+	2	2896;3182;3787;5321	True;True;True;True	2999;3291;3933;5508	24508;26921;31999;44648	14169;14170;15400;18022;25131	14170;15400;18022;25131			-1;-1
CON__O95678	CON__O95678	10	2	2		1	10	2	2	6	7	5	6	3	7	4	6	4	5	6	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	14.7	2.2	2.2	59.504	551	551	0	12.397	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	9.1	11.3	9.4	11.1	5.8	11.1	7.1	8.5	6.9	7.3	9.1	8.5	88542000	0	0	0	0	0	0	0	0	0	0	88542000	0	0	0	0	0	0	0	0	0	0	0	34186000	0	0	0	0	0	0	0	0	0	0	0	2	0	2			+	3	1456;2644;2799;3087;3710;4521;4613;4614;5535;5540	False;False;False;False;False;False;True;True;False;False	1515;2741;2901;3193;3850;4677;4773;4774;5724;5729	11889;11890;11891;11892;11893;22401;22402;22403;22404;22405;22406;22407;22408;23698;23699;23700;23701;23702;23703;23704;23705;23706;23707;23708;23709;26135;26136;26137;26138;26139;26140;26141;26142;26143;31285;31286;31287;31288;31289;31290;31291;31292;31293;31294;31295;31296;37832;37833;37834;37835;37836;37837;37838;38538;38539;46355;46356;46357;46358;46359;46360;46361;46362;46363;46388;46389;46390;46391	6778;6779;6780;6781;6782;12846;12847;13470;13471;13472;13473;15065;15066;15067;15068;17645;17646;17647;17648;17649;17650;17651;17652;17653;17654;17655;21208;21209;21629;21630;26017;26034;26035;26036	6782;12846;13471;15067;17652;21208;21629;21630;26017;26035			-1
CON__P00761	CON__P00761	6	6	6		1	6	6	6	5	4	4	5	4	4	4	3	4	4	4	4	5	4	4	5	4	4	4	3	4	4	4	4	5	4	4	5	4	4	4	3	4	4	4	4	39.4	39.4	39.4	24.409	231	231	0	241.82	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.9	25.1	25.1	31.6	25.1	25.1	25.1	21.6	25.1	25.1	25.1	25.1	58672000000	5975700000	5803300000	4851700000	3581000000	5732800000	5768300000	2073100000	2029200000	5808300000	6441800000	4801900000	5805400000	7442000000	28818000000	55699000000	6981200000	21436000000	18514000000	1529700000	2074200000	2150700000	1084100000	2351900000	1309000000	15	16	12	10	14	20	13	11	10	11	13	14	159			+	4	2295;2954;3315;4242;5004;5019	True;True;True;True;True;True	2377;2378;3057;3428;4396;5177;5192	19195;19196;19197;19198;19199;19200;19201;19202;19203;19204;19205;19206;19207;19208;19209;19210;19211;19212;19213;19214;19215;19216;19217;19218;19219;19220;19221;19222;19223;19224;19225;19226;19227;19228;19229;24999;25000;25001;25002;25003;25004;25005;25006;25007;25008;25009;25010;25011;25012;25013;25014;25015;25016;25017;25018;25019;25020;25021;27898;27899;27900;27901;27902;27903;27904;27905;27906;27907;27908;27909;27910;27911;27912;27913;27914;27915;27916;27917;27918;27919;27920;27921;27922;27923;27924;27925;27926;27927;27928;27929;27930;27931;27932;27933;27934;27935;27936;27937;27938;27939;27940;27941;27942;27943;27944;27945;27946;27947;27948;27949;27950;27951;27952;35643;41999;42000;42001;42002;42003;42004;42005;42006;42007;42008;42009;42010;42011;42012;42123	10959;10960;10961;10962;10963;10964;10965;10966;10967;10968;10969;10970;10971;10972;10973;10974;10975;10976;10977;10978;10979;10980;10981;10982;10983;10984;10985;10986;10987;10988;10989;10990;10991;10992;10993;10994;14431;14432;14433;14434;14435;14436;14437;14438;14439;14440;14441;14442;14443;14444;14445;14446;14447;14448;14449;14450;14451;14452;14453;14454;14455;14456;14457;14458;14459;14460;15904;15905;15906;15907;15908;15909;15910;15911;15912;15913;15914;15915;15916;15917;15918;15919;15920;15921;15922;15923;15924;15925;15926;15927;15928;15929;15930;15931;15932;15933;15934;15935;15936;15937;15938;15939;15940;15941;15942;15943;15944;15945;15946;15947;15948;15949;20006;23667;23668;23669;23670;23671;23672;23673;23674;23675;23676;23677;23678;23679;23680;23681;23682;23683;23684;23685;23686;23687;23688;23689;23690;23691;23692;23693;23694;23695;23696;23697;23698;23699;23700;23701;23702;23703;23704;23705;23706;23707;23708;23709;23710;23711;23756	10984;14448;15916;20006;23693;23756	0	94	-1
CON__P01966	CON__P01966	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10.6	10.6	10.6	15.184	142	142	0	6.7984	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.6	10.6	10.6	10.6	10.6	10.6	10.6	10.6	10.6	10.6	10.6	10.6	267780000	18176000	5356700	1638500	11507000	4968600	6877400	46013000	39822000	28734000	38063000	22309000	44316000	0	0	0	0	0	0	0	0	0	0	0	8543800	0	0	0	1	0	0	1	1	0	1	0	1	5			+	5	5120	True	5295	42886;42887;42888;42889;42890;42891;42892;42893;42894;42895;42896;42897	24148;24149;24150;24151;24152	24149			-1
CON__P02533;sp|Q6IFX2|K1C42_MOUSE;CON__Q6IFX2;sp|Q61414|K1C15_MOUSE;tr|B1AQ77|B1AQ77_MOUSE;CON__A2A4G1;CON__P19012;CON__P08727;CON__Q61782;sp|P19001|K1C19_MOUSE;CON__P19001;sp|Q9D312|K1C20_MOUSE;CON__Q9D312;sp|Q8CCX5|KT222_MOUSE;CON__Q8N1A0	CON__P02533	25;10;10;7;7;7;6;5;4;4;4;2;2;1;1	21;10;10;3;3;3;4;3;4;2;2;2;2;1;1	5;2;2;0;0;0;0;0;1;0;0;0;0;0;0		15	25	21	5	16	21	22	18	21	21	9	7	12	16	21	6	14	19	19	14	17	19	6	5	9	13	19	3	4	5	5	5	5	5	2	1	1	3	5	0	55.7	51.9	15.9	51.621	472	472;452;452;452;456;456;456;400;93;403;403;431;431;294;295	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	39.8	50.2	51.3	43.4	48.3	51.7	18.9	15.9	25.4	35.8	51.7	11	550780000	26527000	54231000	37818000	34279000	34105000	80982000	13789000	10880000	22100000	66760000	163050000	6260200	24336000	300030000	387490000	68149000	157690000	289150000	2285400	5610100	5708900	23011000	71478000	1202300	6	15	19	8	14	16	1	3	1	6	17	0	106			+	6	78;292;399;465;565;602;1310;1812;1820;2337;2438;2817;2819;2915;3086;3576;3671;4289;4660;4755;4881;5207;5392;5393;5440	True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;False;False;True	81;313;425;493;597;635;1367;1879;1880;1888;2422;2527;2919;2921;3018;3192;3712;3811;4444;4821;4916;5049;5386;5580;5581;5582;5629	641;642;2434;2435;2436;2437;2438;2439;2440;2441;2442;2443;2444;2445;3334;3335;3336;3337;3338;3339;3340;3833;3834;3835;3836;3837;3838;3839;4644;4645;4646;4647;4648;4888;4889;4890;4891;4892;4893;4894;10705;10706;10707;10708;10709;10710;10711;10712;10713;10714;10715;14930;14931;14932;14933;14934;14935;14936;14937;14938;14939;14940;14941;14992;14993;14994;14995;14996;14997;14998;19650;19651;19652;19653;19654;19655;19656;19657;20511;20512;20513;20514;20515;20516;20517;20518;23858;23859;23860;23861;23862;23863;23864;23865;23866;23867;23868;23869;23884;23885;23886;23887;24680;24681;24682;24683;24684;24685;26127;26128;26129;26130;26131;26132;26133;26134;30199;30200;30201;30202;30203;30204;30205;30961;30962;30963;30964;30965;30966;30967;30968;30969;30970;35928;35929;35930;35931;35932;35933;38904;39692;39693;39694;39695;39696;39697;39698;39699;39700;39701;39702;40828;40829;40830;40831;40832;40833;40834;40835;40836;43666;43667;43668;43669;43670;43671;43672;43673;43674;43675;43676;43677;45211;45212;45213;45214;45215;45216;45217;45218;45219;45220;45221;45222;45223;45224;45225;45226;45227;45623;45624;45625;45626;45627;45628	333;1394;1395;1396;1397;1398;1399;1400;1401;1402;1881;1882;1883;1884;1885;1886;1887;1888;1889;2175;2688;2689;2690;2691;2692;2833;2834;2835;6026;6027;6028;6029;6030;6031;6032;6033;6034;6035;6036;8509;8510;8511;8512;8513;8514;8515;8516;8517;8518;8519;8520;8540;8541;11200;11201;11202;11203;11204;11205;11206;11747;11748;11749;11750;13571;13572;13573;13581;14270;14271;14272;15054;15055;15056;15057;15058;15059;15060;15061;15062;15063;15064;17124;17125;17496;17497;17498;17499;17500;17501;17502;17503;20183;21837;22285;22906;22907;22908;22909;22910;22911;24592;24593;24594;24595;24596;24597;24598;24599;25436;25437;25438;25439;25440;25441;25442;25609	333;1398;1884;2175;2692;2834;6035;8514;8540;11200;11747;13573;13581;14270;15064;17125;17502;20183;21837;22285;22909;24597;25440;25442;25609	1	272	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
CON__P02538;CON__P48668;CON__P04259;sp|Q8VED5|K2C79_MOUSE;CON__Q8VED5;tr|E9Q1Z0|E9Q1Z0_MOUSE;tr|Q6IFZ8|Q6IFZ8_MOUSE	CON__P02538;CON__P48668;CON__P04259	20;19;19;6;6;4;2	9;8;8;1;1;1;2	5;4;4;0;0;0;0	;;	7	20	9	5	14	17	14	14	13	19	8	10	11	14	9	10	4	7	5	5	5	9	0	0	3	4	0	1	2	3	2	1	3	5	0	0	3	3	0	1	37.1	22.3	14.7	60.044	564	564;564;564;531;531;538;552	0	65.428	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By matching	25	28.9	25.4	22.7	25	37.1	10.6	12.1	19.7	23	13.1	12.1	69531000	3446200	8117100	1870800	4866200	5102200	39451000	0	0	2026400	3859500	0	791440	3022500	58165000	7598200	10360000	10520000	157770000	0	0	1342800	1726500	0	0	0	3	0	3	0	7	0	0	0	1	0	0	14			+	7	88;345;440;1456;1831;2429;2644;2799;3087;3281;3703;3704;3710;3999;4335;4521;4615;5508;5535;5540	True;True;False;False;True;True;False;False;False;True;False;False;False;False;True;True;True;False;False;True	95;367;468;1515;1899;2518;2741;2901;3193;3394;3843;3844;3850;4151;4490;4677;4775;5697;5724;5729	746;2860;2861;3637;3638;3639;3640;3641;3642;3643;3644;3645;3646;3647;3648;11889;11890;11891;11892;11893;15064;15065;15066;15067;15068;15069;15070;20430;20431;20432;20433;20434;20435;22401;22402;22403;22404;22405;22406;22407;22408;23698;23699;23700;23701;23702;23703;23704;23705;23706;23707;23708;23709;26135;26136;26137;26138;26139;26140;26141;26142;26143;27687;27688;27689;27690;27691;27692;31203;31204;31205;31206;31207;31208;31209;31210;31211;31212;31213;31214;31215;31216;31217;31218;31219;31220;31221;31222;31223;31224;31225;31226;31227;31228;31229;31230;31231;31232;31233;31234;31235;31236;31237;31238;31285;31286;31287;31288;31289;31290;31291;31292;31293;31294;31295;31296;33708;33709;33710;33711;33712;33713;33714;33715;33716;33717;33718;33719;33720;33721;36234;36235;36236;36237;36238;36239;36240;37832;37833;37834;37835;37836;37837;37838;38540;38541;38542;38543;38544;38545;46139;46140;46141;46142;46143;46144;46145;46146;46147;46148;46149;46355;46356;46357;46358;46359;46360;46361;46362;46363;46388;46389;46390;46391	378;1625;1626;2083;2084;2085;2086;2087;2088;2089;2090;6778;6779;6780;6781;6782;8564;11710;11711;12846;12847;13470;13471;13472;13473;15065;15066;15067;15068;15789;17602;17603;17604;17605;17606;17607;17608;17609;17610;17611;17612;17613;17614;17615;17616;17617;17618;17619;17620;17621;17622;17623;17624;17625;17626;17645;17646;17647;17648;17649;17650;17651;17652;17653;17654;17655;18970;18971;18972;18973;18974;18975;18976;20331;21208;21209;21631;25918;25919;25920;26017;26034;26035;26036	378;1625;2084;6782;8564;11710;12846;13471;15067;15789;17607;17622;17652;18973;20331;21208;21631;25919;26017;26035			-1;-1;-1;-1;-1;-1;-1
CON__P02662	CON__P02662	2	2	2		1	2	2	2	0	1	0	2	1	0	0	0	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0	2	11.1	11.1	11.1	22.975	199	199	0	12.091		By matching		By MS/MS	By matching							By MS/MS	0	6	0	11.1	6	0	0	0	0	0	0	11.1	17474000	0	567450	0	12127000	663860	0	0	0	0	0	0	4115700	0	0	0	21659000	0	0	0	0	0	0	0	578450	0	0	0	2	0	0	0	0	0	0	0	0	2			+	8	1405;5619	True;True	1463;5810	11448;11449;11450;11451;47097;47098	6502;26387	6502;26387			-1
CON__P02666	CON__P02666	2	2	2		1	2	2	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	12.9	12.9	12.9	23.583	209	209	0	11.094				By MS/MS	By matching	By matching							0	0	0	12.9	3.8	3.8	0	0	0	0	0	0	4522300	0	0	0	4117200	295540	109610	0	0	0	0	0	0	0	0	0	7280800	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2			+	9	782;2025	True;True	824;2101	6491;16741;16742;16743	3810;9628	3810;9628			-1
