Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1_24Hrs	Peptides 1_24Hrs_virus	Peptides 1_2Hrs	Peptides 1_2Hrs_virus	Peptides 2_24Hrs	Peptides 2_24Hrs_virus	Peptides 2_2Hrs	Peptides 2_2Hrs_virus	Peptides 3_24Hrs	Peptides 3_24Hrs_virus	Peptides 3_2Hrs	Peptides 3_2Hrs_virus	Razor + unique peptides 1_24Hrs	Razor + unique peptides 1_24Hrs_virus	Razor + unique peptides 1_2Hrs	Razor + unique peptides 1_2Hrs_virus	Razor + unique peptides 2_24Hrs	Razor + unique peptides 2_24Hrs_virus	Razor + unique peptides 2_2Hrs	Razor + unique peptides 2_2Hrs_virus	Razor + unique peptides 3_24Hrs	Razor + unique peptides 3_24Hrs_virus	Razor + unique peptides 3_2Hrs	Razor + unique peptides 3_2Hrs_virus	Unique peptides 1_24Hrs	Unique peptides 1_24Hrs_virus	Unique peptides 1_2Hrs	Unique peptides 1_2Hrs_virus	Unique peptides 2_24Hrs	Unique peptides 2_24Hrs_virus	Unique peptides 2_2Hrs	Unique peptides 2_2Hrs_virus	Unique peptides 3_24Hrs	Unique peptides 3_24Hrs_virus	Unique peptides 3_2Hrs	Unique peptides 3_2Hrs_virus	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1_24Hrs	Identification type 1_24Hrs_virus	Identification type 1_2Hrs	Identification type 1_2Hrs_virus	Identification type 2_24Hrs	Identification type 2_24Hrs_virus	Identification type 2_2Hrs	Identification type 2_2Hrs_virus	Identification type 3_24Hrs	Identification type 3_24Hrs_virus	Identification type 3_2Hrs	Identification type 3_2Hrs_virus	Sequence coverage 1_24Hrs [%]	Sequence coverage 1_24Hrs_virus [%]	Sequence coverage 1_2Hrs [%]	Sequence coverage 1_2Hrs_virus [%]	Sequence coverage 2_24Hrs [%]	Sequence coverage 2_24Hrs_virus [%]	Sequence coverage 2_2Hrs [%]	Sequence coverage 2_2Hrs_virus [%]	Sequence coverage 3_24Hrs [%]	Sequence coverage 3_24Hrs_virus [%]	Sequence coverage 3_2Hrs [%]	Sequence coverage 3_2Hrs_virus [%]	Intensity	Intensity 1_24Hrs	Intensity 1_24Hrs_virus	Intensity 1_2Hrs	Intensity 1_2Hrs_virus	Intensity 2_24Hrs	Intensity 2_24Hrs_virus	Intensity 2_2Hrs	Intensity 2_2Hrs_virus	Intensity 3_24Hrs	Intensity 3_24Hrs_virus	Intensity 3_2Hrs	Intensity 3_2Hrs_virus	LFQ intensity 1_24Hrs	LFQ intensity 1_24Hrs_virus	LFQ intensity 1_2Hrs	LFQ intensity 1_2Hrs_virus	LFQ intensity 2_24Hrs	LFQ intensity 2_24Hrs_virus	LFQ intensity 2_2Hrs	LFQ intensity 2_2Hrs_virus	LFQ intensity 3_24Hrs	LFQ intensity 3_24Hrs_virus	LFQ intensity 3_2Hrs	LFQ intensity 3_2Hrs_virus	MS/MS count 1_24Hrs	MS/MS count 1_24Hrs_virus	MS/MS count 1_2Hrs	MS/MS count 1_2Hrs_virus	MS/MS count 2_24Hrs	MS/MS count 2_24Hrs_virus	MS/MS count 2_2Hrs	MS/MS count 2_2Hrs_virus	MS/MS count 3_24Hrs	MS/MS count 3_24Hrs_virus	MS/MS count 3_2Hrs	MS/MS count 3_2Hrs_virus	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__ENSEMBL:ENSBTAP00000006074;tr|E7ES19|E7ES19_HUMAN;sp|P35443|TSP4_HUMAN	CON__ENSEMBL:ENSBTAP00000006074;tr|E7ES19|E7ES19_HUMAN;sp|P35443|TSP4_HUMAN	2;1;1	2;1;1	1;0;0	;tr|E7ES19|E7ES19_HUMAN Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=1;sp|P35443|TSP4_HUMAN Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=2	3	2	2	1	1	1	1	0	1	2	2	2	2	2	2	2	1	1	1	0	1	2	2	2	2	2	2	2	1	0	0	0	0	1	1	1	1	1	1	1	4.4	4.4	2.3	80.674	747	747;870;961	0	211.35	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.3	2.1	2.1	0	2.1	4.4	4.4	4.4	4.4	4.4	4.4	4.4	989100000	0	41986000	70994000	0	55775000	0	98857000	75529000	108510000	262630000	128770000	146050000	0	0	0	0	0	0	59305000	0	156060000	167340000	160040000	154860000	2	2	1	0	3	5	3	4	3	7	7	6	43			+	0	779;1909	True;True	785;1927	6776;6777;6778;6779;6780;6781;6782;6783;6784;6785;6786;6787;16332;16333;16334;16335;16336;16337;16338;16339;16340;16341;16342	16042;16043;16044;16045;16046;16047;16048;16049;16050;16051;16052;16053;16054;16055;16056;16057;16058;16059;16060;16061;16062;16063;39271;39272;39273;39274;39275;39276;39277;39278;39279;39280;39281;39282;39283;39284;39285;39286;39287;39288;39289;39290;39291;39292	16060;39281			-1;-1;-1
CON__ENSEMBL:ENSBTAP00000007350;tr|A0A3B3ISA6|A0A3B3ISA6_HUMAN	CON__ENSEMBL:ENSBTAP00000007350	13;1	13;1	2;0		2	13	13	2	6	7	6	7	7	9	11	11	13	11	9	10	6	7	6	7	7	9	11	11	13	11	9	10	2	1	1	1	1	2	2	2	2	2	2	2	9.3	9.3	2	192.99	1742	1742;1296	0	133.41	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.7	4.6	4.4	5.2	4.4	6.4	8	7.4	9.3	8.2	6.5	7.1	8500900000	180300000	393660000	385500000	340900000	500280000	622540000	648930000	573890000	1524200000	1122100000	1008400000	1200300000	235640000	462400000	406840000	354770000	510780000	623980000	587910000	436510000	1076100000	754100000	1458500000	1151900000	8	21	15	12	30	28	20	28	45	27	29	34	297			+	1	255;441;1273;1656;2118;2470;2589;3423;3597;3818;3993;4284;4460	True;True;True;True;True;True;True;True;True;True;True;True;True	255;442;1284;1671;2140;2499;2619;3468;3645;3871;4047;4340;4517	2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;3743;3744;3745;3746;3747;3748;3749;3750;10885;10886;10887;10888;10889;10890;10891;10892;10893;10894;10895;10896;10897;10898;10899;10900;10901;10902;10903;10904;10905;10906;10907;10908;10909;10910;10911;10912;10913;10914;10915;10916;10917;10918;10919;10920;10921;10922;10923;10924;10925;10926;14156;14157;14158;14159;14160;18057;18058;18059;18060;18061;18062;18063;18064;18065;18066;20986;20987;20988;20989;20990;20991;20992;20993;20994;22015;22016;22017;22018;22019;22020;22021;22022;22023;22024;28981;28982;28983;28984;28985;28986;28987;28988;28989;28990;30401;30402;30403;30404;30405;30406;30407;30408;30409;30410;32203;32204;32205;32206;32207;32208;32209;32210;33789;33790;33791;33792;33793;36149;36150;36151;36152;36153;36154;36155;36156;36157;36158;36159;36160;36161;37671;37672;37673;37674;37675;37676;37677;37678;37679;37680;37681	5040;5041;5042;5043;5044;5045;5046;5047;5048;5049;5050;5051;5052;5053;5054;5055;5056;5057;5058;5059;5060;5061;5062;5063;5064;5065;5066;5067;5068;5069;5070;5071;5072;5073;5074;5075;5076;5077;5078;5079;5080;5081;5082;5083;5084;5085;5086;5087;5088;5089;5090;5091;5092;5093;5094;5095;5096;5097;5098;5099;5100;5101;5102;5103;5104;5105;5106;5107;5108;5109;5110;5111;5112;5113;5114;5115;5116;5117;8980;8981;8982;8983;8984;8985;26410;26411;26412;26413;26414;26415;26416;26417;26418;26419;26420;26421;26422;26423;26424;26425;26426;26427;26428;26429;26430;26431;26432;26433;26434;26435;26436;26437;26438;26439;26440;26441;26442;26443;26444;26445;26446;26447;26448;26449;26450;26451;33684;33685;33686;33687;43032;43033;43034;43035;43036;43037;43038;49464;49465;49466;49467;49468;49469;49470;49471;49472;49473;49474;49475;49476;49477;49478;49479;49480;49481;49482;49483;49484;49485;49486;49487;49488;49489;49490;49491;49492;49493;49494;49495;49496;51511;51512;51513;51514;51515;51516;51517;51518;51519;51520;51521;51522;51523;51524;51525;51526;51527;51528;51529;51530;51531;51532;51533;51534;51535;51536;51537;51538;51539;51540;51541;51542;51543;51544;51545;51546;67186;67187;67188;67189;67190;67191;67192;67193;67194;67195;67196;67197;67198;67199;67200;67201;67202;67203;67204;67205;67206;67207;67208;67209;67210;67211;70205;70206;70207;70208;70209;70210;70211;70212;70213;70214;70215;70216;70217;70218;70219;70220;70221;70222;70223;70224;70225;70226;70227;70228;70229;70230;70231;70232;70233;70234;70235;70236;70237;74379;74380;74381;74382;74383;74384;74385;74386;74387;74388;78265;78266;83733;83734;83735;83736;83737;83738;83739;83740;83741;83742;83743;83744;83745;83746;83747;83748;83749;83750;83751;83752;83753;83754;83755;83756;83757;86840;86841;86842;86843;86844;86845;86846;86847;86848;86849;86850;86851;86852	5082;8982;26439;33687;43036;49481;51542;67190;70233;74387;78265;83747;86850			-1;-1
CON__ENSEMBL:ENSBTAP00000013050	CON__ENSEMBL:ENSBTAP00000013050	2	2	2		1	2	2	2	0	1	1	0	1	2	0	1	0	1	1	2	0	1	1	0	1	2	0	1	0	1	1	2	0	1	1	0	1	2	0	1	0	1	1	2	8.6	8.6	8.6	51.988	452	452	0	7.327		By MS/MS	By MS/MS		By MS/MS	By MS/MS		By MS/MS		By MS/MS	By MS/MS	By MS/MS	0	3.3	5.3	0	5.3	8.6	0	3.3	0	3.3	5.3	8.6	436510000	0	19688000	64753000	0	47428000	125800000	0	0	0	29391000	67490000	81967000	0	0	0	0	0	125070000	0	0	0	0	0	66056000	0	0	1	0	1	0	0	1	0	0	1	3	7			+	2	3372;4217	True;True	3417;4272	28601;28602;28603;28604;28605;35525;35526;35527;35528;35529	66425;66426;66427;66428;66429;66430;82266;82267;82268;82269;82270	66427;82267			-1
CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229;tr|D6RBJ7|D6RBJ7_HUMAN;sp|P02774|VTDB_HUMAN;tr|D6RF35|D6RF35_HUMAN	CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	6;6;1;1;1	6;6;1;1;1	6;6;1;1;1	;	5	6	6	6	3	4	4	4	4	4	4	5	3	4	4	4	3	4	4	4	4	4	4	5	3	4	4	4	3	4	4	4	4	4	4	5	3	4	4	4	18.4	18.4	18.4	53.341	474	474;475;348;474;476	0	288.68	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.4	9.1	9.1	9.1	9.1	9.1	9.1	16.7	7.4	11.8	11.8	11.8	7269000000	320920000	337900000	302410000	330650000	365090000	391650000	426320000	584930000	1024600000	966170000	988430000	1229900000	272770000	350580000	326230000	304460000	316230000	377100000	426280000	368440000	1086500000	963910000	1056300000	993510000	15	18	13	11	16	19	14	15	17	19	19	16	192			+	3	453;664;1296;1567;1825;3853	True;True;True;True;True;True	455;670;1309;1581;1842;3907	3835;3836;3837;3838;3839;3840;3841;3842;3843;3844;3845;3846;5733;5734;5735;5736;5737;5738;5739;5740;5741;5742;5743;5744;5745;5746;5747;5748;5749;11126;11127;11128;11129;11130;11131;13431;13432;13433;13434;13435;13436;13437;13438;13439;13440;13441;13442;13443;13444;13445;13446;13447;15661;32502;32503;32504;32505	9123;9124;9125;9126;9127;9128;9129;9130;9131;9132;9133;9134;9135;9136;9137;9138;9139;9140;9141;9142;9143;9144;13561;13562;13563;13564;13565;13566;13567;13568;13569;13570;13571;13572;13573;13574;13575;13576;13577;13578;13579;13580;13581;13582;13583;13584;13585;13586;13587;13588;13589;13590;13591;13592;13593;13594;13595;13596;13597;13598;13599;13600;13601;13602;13603;13604;13605;13606;13607;13608;13609;13610;13611;13612;13613;13614;13615;13616;13617;13618;13619;13620;13621;13622;13623;13624;13625;13626;13627;13628;27225;27226;27227;27228;27229;31915;31916;31917;31918;31919;31920;31921;31922;31923;31924;31925;31926;31927;31928;31929;31930;31931;31932;31933;31934;31935;31936;31937;31938;31939;31940;31941;31942;31943;31944;31945;31946;31947;31948;31949;31950;31951;31952;31953;31954;31955;31956;31957;31958;31959;31960;31961;31962;31963;31964;31965;31966;31967;31968;31969;31970;31971;31972;31973;31974;31975;31976;31977;31978;31979;31980;31981;31982;31983;31984;31985;31986;31987;31988;31989;31990;31991;31992;31993;31994;31995;31996;31997;31998;31999;32000;32001;32002;32003;32004;32005;32006;32007;32008;32009;32010;32011;32012;37717;75505;75506;75507;75508	9126;13574;27227;31988;37717;75505	0	185	-1;-1;-1;-1;-1
CON__ENSEMBL:ENSBTAP00000018574	CON__ENSEMBL:ENSBTAP00000018574	3	3	3		1	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	7.9	7.9	7.9	55.207	496	496	0	157.51	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.9	7.9	7.9	4.8	7.9	7.9	7.9	7.9	6.5	7.9	7.9	7.9	3077000000	105710000	196510000	72685000	36141000	210030000	315830000	241430000	130290000	296550000	581590000	454020000	436190000	133720000	192250000	0	0	211420000	276180000	255580000	0	336640000	636620000	325250000	298990000	4	6	4	4	5	7	8	5	4	9	5	7	68			+	4	8;1426;2135	True;True;True	8;1440;2158	63;64;65;66;67;68;69;70;71;72;73;12192;12193;12194;12195;12196;12197;12198;12199;12200;12201;12202;12203;12204;12205;12206;12207;12208;12209;12210;12211;12212;12213;12214;12215;18196;18197;18198;18199;18200;18201;18202;18203;18204;18205;18206	154;155;29389;29390;29391;29392;29393;29394;29395;29396;29397;29398;29399;29400;29401;29402;29403;29404;29405;29406;29407;29408;29409;29410;29411;29412;29413;29414;29415;29416;29417;29418;29419;29420;29421;29422;29423;29424;29425;29426;29427;29428;29429;29430;29431;29432;29433;29434;29435;29436;29437;29438;29439;29440;29441;29442;29443;29444;29445;29446;29447;29448;29449;29450;29451;29452;29453;29454;43317;43318;43319;43320;43321;43322;43323;43324;43325	155;29440;43317			-1
CON__ENSEMBL:ENSBTAP00000023402	CON__ENSEMBL:ENSBTAP00000023402	1	1	1		1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	3.2	3.2	3.2	46.017	411	411	0	3.0528							By MS/MS	By MS/MS	By MS/MS			By MS/MS	0	0	0	0	0	0	3.2	3.2	3.2	0	0	3.2	128000000	0	0	0	0	0	0	22424000	34128000	29380000	0	0	42066000	0	0	0	0	0	0	0	0	0	0	0	38312000	0	0	0	0	0	0	3	0	1	0	0	2	6			+	5	3719	True	3770	31484;31485;31486;31487	72732;72733;72734;72735;72736;72737	72736			-1
CON__ENSEMBL:ENSBTAP00000024146;sp|P20742|PZP_HUMAN	CON__ENSEMBL:ENSBTAP00000024146	21;1	21;1	19;0		2	21	21	19	15	20	19	17	19	19	17	18	18	16	20	19	15	20	19	17	19	19	17	18	18	16	20	19	15	18	18	17	17	18	16	18	17	15	18	18	22.5	22.5	20.9	164.34	1477	1477;1482	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.2	21.8	20.9	19.4	20.6	21.1	18.7	20.2	19.6	16.9	21.5	20.7	167010000000	7008800000	10907000000	8634700000	6544100000	12930000000	13964000000	12369000000	10838000000	20541000000	19421000000	21153000000	22695000000	5923400000	9499900000	7681800000	6669400000	11063000000	13359000000	12228000000	8877700000	20898000000	17175000000	23180000000	19382000000	31	53	45	37	59	64	41	44	69	48	55	55	601			+	6	130;227;286;328;385;600;717;1368;1443;2175;2705;2999;3017;3045;3162;3247;3256;3505;3638;3806;4486	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	130;227;286;287;329;386;606;723;1382;1457;2199;2737;3039;3057;3085;3204;3292;3301;3551;3686;3859;4543	976;977;978;979;980;981;982;983;984;985;986;987;1772;1773;1774;1775;1776;1777;1778;1779;1780;2293;2294;2295;2296;2297;2298;2299;2300;2301;2302;2303;2304;2685;2686;2687;2688;2689;2690;2691;2692;2693;2694;2695;2696;2697;2698;2699;2700;2701;2702;2703;2704;3149;3150;3151;3152;3153;3154;3155;3156;5118;5119;5120;5121;5122;5123;5124;5125;5126;5127;5128;5129;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;11691;11692;11693;11694;11695;11696;11697;11698;11699;11700;11701;12346;12347;12348;12349;12350;12351;12352;12353;12354;12355;12356;12357;18530;18531;18532;18533;18534;18535;18536;18537;18538;18539;18540;18541;18542;18543;18544;18545;18546;18547;18548;23018;23019;23020;23021;23022;23023;23024;23025;23026;23027;23028;25447;25448;25449;25450;25451;25452;25453;25454;25584;25585;25586;25587;25588;25589;25590;25591;25592;25593;25594;25595;25816;25817;25818;25819;25820;25821;25822;25823;25824;25825;25826;25827;26976;26977;26978;26979;26980;26981;26982;26983;26984;26985;26986;26987;27652;27653;27654;27655;27656;27657;27658;27659;27660;27710;27711;27712;27713;27714;29580;29581;29582;29583;29584;29585;29586;29587;29588;29589;29590;29591;30708;30709;30710;30711;30712;30713;30714;30715;30716;30717;30718;32130;32131;32132;32133;32134;32135;32136;32137;32138;32139;37906;37907;37908;37909;37910;37911;37912;37913;37914;37915;37916;37917	2469;2470;2471;2472;2473;2474;2475;2476;2477;2478;2479;2480;4443;4444;4445;4446;4447;4448;4449;4450;4451;4452;4453;4454;4455;4456;4457;4458;4459;4460;4461;4462;4463;4464;4465;4466;4467;4468;4469;4470;4471;4472;4473;4474;4475;4476;4477;4478;4479;4480;4481;4482;5738;5739;5740;5741;5742;5743;5744;5745;5746;5747;5748;5749;5750;5751;5752;5753;5754;5755;5756;5757;5758;5759;5760;5761;5762;5763;5764;5765;5766;5767;5768;5769;5770;5771;5772;5773;5774;5775;5776;5777;5778;5779;5780;5781;5782;5783;5784;5785;5786;5787;5788;5789;5790;5791;5792;5793;5794;5795;5796;5797;5798;5799;5800;5801;5802;5803;5804;5805;5806;5807;5808;5809;6673;6674;6675;6676;6677;6678;6679;6680;6681;6682;6683;6684;6685;6686;6687;6688;7668;7669;7670;7671;7672;7673;7674;7675;12288;12289;12290;12291;12292;12293;12294;12295;12296;12297;12298;12299;14591;14592;14593;14594;14595;14596;14597;14598;14599;14600;14601;14602;14603;14604;14605;14606;14607;14608;14609;14610;14611;14612;14613;14614;14615;14616;14617;14618;14619;14620;14621;14622;14623;14624;14625;14626;14627;14628;14629;14630;14631;14632;14633;14634;14635;14636;14637;14638;14639;14640;14641;14642;14643;14644;14645;14646;14647;14648;14649;14650;14651;14652;14653;14654;14655;14656;14657;14658;14659;14660;14661;14662;14663;14664;14665;14666;14667;14668;14669;14670;14671;14672;14673;14674;14675;14676;14677;14678;14679;28380;28381;28382;28383;28384;28385;28386;28387;28388;28389;28390;28391;28392;28393;28394;28395;28396;28397;28398;28399;28400;28401;28402;28403;28404;28405;28406;28407;28408;28409;28410;28411;28412;28413;28414;28415;28416;28417;28418;28419;28420;28421;28422;28423;28424;28425;28426;28427;28428;28429;28430;28431;28432;28433;28434;28435;28436;28437;28438;28439;28440;28441;28442;28443;28444;28445;28446;28447;28448;28449;28450;28451;28452;28453;28454;28455;29778;29779;29780;29781;44011;44012;44013;44014;44015;44016;44017;44018;44019;44020;44021;44022;44023;44024;44025;44026;44027;44028;44029;44030;44031;44032;44033;44034;44035;44036;44037;44038;44039;44040;54173;54174;54175;54176;54177;54178;54179;54180;54181;54182;59631;59632;59633;59634;59635;59636;59637;59638;59639;59640;59641;59642;59643;59644;59645;59646;59647;59648;59649;59650;59651;59652;59653;59654;59655;59656;59657;59658;59659;59660;59661;59662;59663;59664;59988;59989;59990;59991;59992;59993;59994;59995;59996;59997;59998;59999;60000;60001;60002;60003;60004;60005;60006;60007;60008;60009;60010;60011;60012;60013;60014;60015;60016;60017;60018;60019;60020;60021;60022;60023;60024;60025;60026;60477;60478;60479;60480;60481;60482;60483;60484;60485;60486;60487;60488;60489;60490;60491;60492;60493;60494;60495;60496;60497;60498;60499;60500;60501;60502;60503;60504;60505;60506;60507;60508;60509;60510;60511;60512;60513;60514;60515;60516;60517;60518;60519;60520;60521;60522;60523;60524;60525;60526;60527;60528;60529;60530;60531;60532;60533;60534;60535;60536;60537;60538;62992;62993;62994;62995;62996;62997;62998;62999;63000;63001;63002;63003;63004;63005;63006;63007;63008;63009;63010;63011;63012;63013;63014;63015;63016;63017;63018;63019;63020;63021;63022;63023;63024;63025;63026;63027;63028;63029;63030;63031;63032;63033;63034;63035;64319;64320;64321;64322;64323;64324;64325;64326;64327;64328;64329;64330;64452;64453;64454;64455;64456;64457;64458;64459;64460;68558;68559;68560;68561;68562;68563;68564;68565;68566;68567;68568;68569;68570;68571;68572;70860;70861;70862;70863;70864;70865;70866;70867;70868;70869;70870;70871;70872;70873;70874;70875;70876;70877;70878;70879;70880;70881;70882;70883;70884;70885;70886;70887;70888;70889;70890;70891;70892;70893;70894;70895;70896;70897;70898;70899;70900;70901;70902;70903;70904;70905;70906;70907;74274;74275;74276;74277;74278;74279;74280;74281;74282;74283;74284;74285;74286;74287;74288;87261;87262;87263;87264;87265;87266;87267;87268;87269	2477;4481;5767;6682;7668;12297;14669;28388;29779;44012;54177;59632;60010;60526;63012;64327;64453;68561;70901;74283;87269	1;2	963;1212	-1;-1
CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	3;2	3;2	3;2	;	2	3	3	3	2	1	1	2	1	2	2	2	3	3	3	3	2	1	1	2	1	2	2	2	3	3	3	3	2	1	1	2	1	2	2	2	3	3	3	3	17.5	17.5	17.5	43.9	401	401;419	0	66.335	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.5	6.2	6.2	13.5	7.2	10.2	11.2	13.5	17.5	17.5	17.5	17.5	2801300000	119890000	70328000	63889000	85319000	113260000	241670000	135240000	188740000	519850000	539350000	433600000	290200000	0	0	0	0	0	0	200190000	0	539230000	424140000	435130000	0	2	0	0	1	2	0	6	2	5	4	3	6	31			+	7	1089;3194;3793	True;True;True	1099;3238;3846	9278;9279;9280;9281;9282;9283;27189;27190;27191;27192;27193;27194;27195;27196;27197;27198;32023;32024;32025;32026;32027;32028;32029;32030;32031	21909;21910;21911;21912;21913;21914;21915;21916;21917;63406;63407;63408;63409;63410;63411;63412;63413;73994;73995;73996;73997;73998;73999;74000;74001;74002;74003;74004;74005;74006;74007;74008;74009;74010;74011;74012;74013;74014;74015;74016;74017;74018	21911;63409;74015	3	32	-1;-1
CON__ENSEMBL:ENSBTAP00000031360	CON__ENSEMBL:ENSBTAP00000031360	1	1	1		1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	9.2	9.2	9.2	54.678	491	491	0	2.2318												By MS/MS	0	0	0	0	0	0	0	0	0	0	0	9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1			+	8	1692	True	1707	14453	34201	34201			-1
CON__ENSEMBL:ENSBTAP00000032840	CON__ENSEMBL:ENSBTAP00000032840	5	5	5		1	5	5	5	1	2	1	2	1	2	1	1	5	5	4	4	1	2	1	2	1	2	1	1	5	5	4	4	1	2	1	2	1	2	1	1	5	5	4	4	7.4	7.4	7.4	92.273	825	825	0	34.435	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.2	2.4	1.2	3.3	1.2	2.4	1.2	1.2	7.4	7.4	6.2	6.2	1559800000	105340000	96619000	164500000	148050000	188420000	160140000	83382000	265280000	116870000	13523000	85729000	131970000	0	0	0	0	0	0	0	0	102600000	74925000	72589000	101860000	3	4	2	4	2	2	3	2	16	10	15	11	74			+	9	948;1247;3182;3587;3820	True;True;True;True;True	957;1257;3225;3635;3873	8078;8079;8080;8081;8082;8083;8084;8085;8086;10632;10633;10634;10635;10636;10637;10638;10639;10640;10641;27115;27116;27117;27118;30315;30316;30317;30318;30319;30320;30321;30322;30323;30324;30325;30326;32215;32216;32217;32218	19030;19031;19032;19033;19034;19035;19036;19037;19038;19039;19040;19041;19042;19043;19044;19045;19046;19047;19048;19049;25704;25705;25706;25707;25708;25709;25710;25711;25712;25713;25714;25715;25716;25717;25718;25719;25720;25721;25722;25723;25724;25725;63256;63257;63258;63259;63260;63261;63262;63263;63264;63265;70044;70045;70046;70047;70048;70049;70050;70051;70052;70053;70054;70055;70056;70057;70058;70059;70060;70061;70062;70063;70064;74397	19038;25718;63262;70062;74397	4	123	-1
